Mixture	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
LD0152	0.20789447794343394	0.02647501843549827	0.33983424931398970	0.08262102114110351	0.00000000000000000	0.05307064216792854	0.00000000000000000	0.00189661872579377	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00433456313284127	0.01658359152291027	0.00000000000000000	0.00000000000000000	0.11814135104322247	0.13016552818015009	0.00000000000000000	0.01898293839312821	0.00000000000000000	0.86065582239449712	0.62964539972190159
LD0154	0.12329694779979768	0.00388609746309365	0.28400361514229405	0.10284193078986503	0.00000000000000000	0.02800292392686411	0.00000000000000000	0.00743512628171175	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03667158850473294	0.00000000000000000	0.00000000000000000	0.03331047330820243	0.36715746562628326	0.00000000000000000	0.01339383115715532	0.00000000000000000	0.80719052116382206	0.68384961389994225
LD0157	0.14813938889259395	0.00000000000000000	0.24169353909690675	0.11499019915318680	0.00000000000000000	0.04040279097075744	0.00000000000000000	0.00159409259427157	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03880814743447222	0.00000000000000000	0.00000000000000000	0.04113159257676677	0.37324024928104466	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.83175377303612152	0.65957701442619499
LD0158	0.19175308195294880	0.00000000000000000	0.22138300769061439	0.14055228651611210	0.00000000000000000	0.05797496904245283	0.00000000000000000	0.01215421269521651	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00401744486739166	0.04791499050817789	0.00000000000000000	0.00000000000000000	0.03374088812967121	0.25406084131236029	0.00755394120093831	0.02889433608411626	0.00000000000000000	0.82430476794942897	0.66910566519929637
LD0160	0.21914982598378507	0.00000000000000000	0.23100629787703958	0.12044748357718817	0.00000000000000000	0.02633486395889279	0.00000000000000000	0.01855345503314350	0.00596425879888436	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05228244353526682	0.00000000000000000	0.00000000000000000	0.03142628844245345	0.28256625975682120	0.00000000000000000	0.01226882303652516	0.00000000000000000	0.86310151595028139	0.62488646396651304
LD0161	0.19175891825882938	0.00000000000000000	0.28514322354846466	0.13888160817008557	0.00000000000000000	0.02762981570811837	0.00000000000000000	0.00769210382067756	0.00000000000000000	0.00256651174009133	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05829271881687512	0.00000000000000000	0.00000000000000000	0.04863249518298662	0.22298475610366131	0.00000000000000000	0.01641784865021001	0.00000000000000000	0.85542743195515047	0.64844517094287546
LD0162	0.21921575360870904	0.00000000000000000	0.28973439691440023	0.12870598403784581	0.00000000000000000	0.05195264340977711	0.00000000000000000	0.00493354835778466	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05125586870147896	0.00000000000000000	0.00000000000000000	0.06576379165591548	0.15723549891488467	0.00000000000000000	0.03120251439920426	0.00000000000000000	0.84872954874851991	0.65175108806876136
LD0163	0.15673565733879422	0.00000000000000000	0.33965264209572926	0.10088407651524942	0.00000000000000000	0.01847325824764565	0.00000000000000000	0.00123399777126759	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03453279647889944	0.00000000000000000	0.00000000000000000	0.08403341308470559	0.25463214493111563	0.00000000000000000	0.00982201353659315	0.00000000000000000	0.83153885386886550	0.67270029032078149
LD0165	0.23984572338443449	0.00000000000000000	0.22549428643716055	0.14757578685392098	0.00000000000000000	0.03911496267734450	0.00000000000000000	0.00930361531269329	0.02975802047277569	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00440304941774552	0.02423550058748830	0.00000000000000000	0.00000000000000000	0.08019243366116127	0.18876663334557850	0.00000000000000000	0.01130998784969669	0.00000000000000000	0.87710770044442898	0.62410457991285617
LD0168	0.18936984797532505	0.00000000000000000	0.33999929733845369	0.11218100520919284	0.00000000000000000	0.01943405744190604	0.00000000000000000	0.00844219597911527	0.01166870409284915	0.00156219797372011	0.00000000000000000	0.00401692552800844	0.00000000000000000	0.04117845089300193	0.00000000000000000	0.00000000000000000	0.06455310261463992	0.19962005539936639	0.00000000000000000	0.00797415955442113	0.00000000000000000	0.84716075614885267	0.65647620120654326
